101000000010794,CANARA BANK,0,1,0.05,INE476A01014,0915-1530|1815-1915:17,2021-07-13,,NSE:CANBK-EQ,10,10,10794,CANBK
101000000010828,SEYA INDUSTRIES LIMITED,0,1,0.05,INE573R01012,0915-1530|1815-1915:17,2021-07-13,,NSE:SEYAIND-EQ,10,10,10828,SEYAIND
10100000001085,GABRIEL INDIA LTD,0,1,0.05,INE524A01029,0915-1530|1815-1915:17,2021-07-13,,NSE:GABRIEL-EQ,10,10,1085,GABRIEL
101000000010861,INDOSOLAR LIMITED,0,1,0.05,INE866K01015,0915-1530|1815-1915:17,2021-07-13,,NSE:INDOSOLAR-BZ,10,10,10861,INDOSOLAR
101000000010905,GENESYS INTL CORPN LTD,0,1,0.05,INE727B01026,0915-1530|1815-1915:17,2021-07-13,,NSE:GENESYS-EQ,10,10,10905,GENESYS
101000000010922,OMAX AUTOS LTD,0,1,0.05,INE090B01011,0915-1530|1815-1915:17,2021-07-13,,NSE:OMAXAUTO-EQ,10,10,10922,OMAXAUTO
101000000010925,GODREJ INDUSTRIES LTD,0,1,0.05,INE233A01035,0915-1530|1815-1915:17,2021-07-13,,NSE:GODREJIND-EQ,10,10,10925,GODREJIND
101000000010939,NIP IND ETF JUNIOR BEES,4,1,0.01,INF732E01045,0915-1530|1815-1915:17,2021-07-13,,NSE:JUNIORBEES-EQ,10,10,10939,JUNIORBEES
101000000010940,DIVI'S LABORATORIES LTD,0,1,0.05,INE361B01024,0915-1530|1815-1915:17,2021-07-13,,NSE:DIVISLAB-EQ,10,10,10940,DIVISLAB
101000000010948,THE STATE TRADING CORPN,0,1,0.05,INE655A01013,0915-1530|1815-1915:17,2021-07-13,,NSE:STCINDIA-EQ,10,10,10948,STCINDIA
101000000010990,RADICO KHAITAN LTD,0,1,0.05,INE944F01028,0915-1530|1815-1915:17,2021-07-13,,NSE:RADICO-EQ,10,10,10990,RADICO
101000000010999,MARUTI SUZUKI INDIA LTD.,0,1,0.05,INE585B01010,0915-1530|1815-1915:17,2021-07-13,,NSE:MARUTI-EQ,10,10,10999,MARUTI
10100000001100,GARWARE TECH FIBRES LTD,0,1,0.05,INE276A01018,0915-1530|1815-1915:17,2021-07-13,,NSE:GARFIBRES-EQ,10,10,1100,GARFIBRES
101000000011006,NIP IND ETF LIQUID BEES,4,1,0.01,INF732E01037,0915-1530|1815-1915:17,2021-07-13,,NSE:LIQUIDBEES-EQ,10,10,11006,LIQUIDBEES
101000000011022,A B INFRABUILD LIMITED,0,1,0.05,INE00YB01017,0915-1530|1815-1915:17,2021-07-13,,NSE:ABINFRA-SM,10,10,11022,ABINFRA
101000000011028,INFOBEANS TECHNO. LTD.,0,1,0.05,INE344S01016,0915-1530|1815-1915:17,2021-07-13,,NSE:INFOBEAN-BE,10,10,11028,INFOBEAN
101000000011032,SANGINITA CHEMICALS LTD,0,1,0.05,INE753W01010,0915-1530|1815-1915:17,2021-07-13,,NSE:SANGINITA-EQ,10,10,11032,SANGINITA
101000000011037,ICICIPRAMC - IPRU5008,4,1,0.01,INF109KC1E27,0915-1530|1815-1915:17,2021-07-13,,NSE:ICICIBANKN-EQ,10,10,11037,ICICIBANKN
101000000011039,DCM NOUVELLE LIMITED,0,1,0.05,INE08KP01019,0915-1530|1815-1915:17,2021-07-13,,NSE:DCMNVL-EQ,10,10,11039,DCMNVL
101000000011045,SATIA INDUSTRIES LIMITED,0,1,0.05,INE170E01023,0915-1530|1815-1915:17,2021-07-13,,NSE:SATIA-EQ,10,10,11045,SATIA
101000000011050,SIRCA PAINT INDIA LIMITED,0,1,0.05,INE792Z01011,0915-1530|1815-1915:17,2021-07-13,,NSE:SIRCA-EQ,10,10,11050,SIRCA
101000000011058,SECUREKLOUD TECH LIMITED,0,1,0.05,INE650K01021,0915-1530|1815-1915:17,2021-07-13,,NSE:SECURKLOUD-EQ,10,10,11058,SECURKLOUD
101000000011065,NATH BIO-GENES (I) LTD,0,1,0.05,INE448G01010,0915-1530|1815-1915:17,2021-07-13,,NSE:NATHBIOGEN-EQ,10,10,11065,NATHBIOGEN
101000000011072,AGRI-TECH (INDIA) LIMITED,0,1,0.05,INE449G01018,0915-1530|1815-1915:17,2021-07-13,,NSE:AGRITECH-EQ,10,10,11072,AGRITECH
101000000011079,GRAND FOUNDRY LTD,0,1,0.05,INE534A01028,0915-1530|1815-1915:17,2021-07-13,,NSE:GFSTEELS-BE,10,10,11079,GFSTEELS
101000000011082,LIBAS CONSU PRODUCTS LTD,0,1,0.05,INE908V01012,0915-1530|1815-1915:17,2021-07-13,,NSE:LIBAS-EQ,10,10,11082,LIBAS
101000000011140,SUMIT WOODS LIMITED,0,1,0.05,INE748Z01013,0915-1530|1815-1915:17,2021-07-13,,NSE:SUMIT-EQ,10,10,11140,SUMIT
101000000011150,SHRENIK LIMITED,0,1,0.05,INE632X01030,0915-1530|1815-1915:17,2021-07-13,,NSE:SHRENIK-BE,10,10,11150,SHRENIK
101000000011155,CREATIVE PERI & DIST LTD.,0,1,0.05,INE985W01018,0915-1530|1815-1915:17,2021-07-13,,NSE:CREATIVE-EQ,10,10,11155,CREATIVE
10100000001116,DANGEE DUMS LIMITED,0,1,0.05,INE688Y01014,0915-1530|1815-1915:17,2021-07-13,,NSE:DANGEE-BE,10,10,1116,DANGEE
101000000011164,WONDER FIBROMATS LIMITED,0,1,0.05,INE02WG01016,0915-1530|1815-1915:17,2021-07-13,,NSE:WFL-SM,10,10,11164,WFL
101000000011165,COFFEE DAY ENTERPRISE LTD,0,1,0.05,INE335K01011,0915-1530|1815-1915:17,2021-07-13,,NSE:COFFEEDAY-EQ,10,10,11165,COFFEEDAY
101000000011184,IDFC FIRST BANK LIMITED,0,1,0.05,INE092T01019,0915-1530|1815-1915:17,2021-07-13,,NSE:IDFCFIRSTB-EQ,10,10,11184,IDFCFIRSTB
101000000011195,INTERGLOBE AVIATION LTD,0,1,0.05,INE646L01027,0915-1530|1815-1915:17,2021-07-13,,NSE:INDIGO-EQ,10,10,11195,INDIGO
101000000011212,S H KELKAR AND CO. LTD.,0,1,0.05,INE500L01026,0915-1530|1815-1915:17,2021-07-13,,NSE:SHK-EQ,10,10,11212,SHK
101000000011220,VARDHAMAN ACRYLICS LTD,0,1,0.05,INE116G01013,0915-1530|1815-1915:17,2021-07-13,,NSE:VARDHACRLC-EQ,10,10,11220,VARDHACRLC
101000000011223,UCO BANK,0,1,0.05,INE691A01018,0915-1530|1815-1915:17,2021-07-13,,NSE:UCOBANK-EQ,10,10,11223,UCOBANK
10100000001123,S K S TEXTILES LIMITED,0,1,0.05,INE507Y01016,0915-1530|1815-1915:17,2021-07-13,,NSE:SKSTEXTILE-SM,10,10,1123,SKSTEXTILE
101000000011233,SUVEN LIFE SCIENCES LTD,0,1,0.05,INE495B01038,0915-1530|1815-1915:17,2021-07-13,,NSE:SUVEN-EQ,10,10,11233,SUVEN
101000000011236,JINDAL STAINLESS LIMITED,0,1,0.05,INE220G01021,0915-1530|1815-1915:17,2021-07-13,,NSE:JSL-EQ,10,10,11236,JSL
101000000011239,NALWA SONS INVESTMENT LTD,0,1,0.05,INE023A01030,0915-1530|1815-1915:17,2021-07-13,,NSE:NSIL-EQ,10,10,11239,NSIL
101000000011250,PERFECT INFRAENGINEER LTD,0,1,0.05,INE925S01012,0915-1530|1815-1915:17,2021-07-13,,NSE:PERFECT-SM,10,10,11250,PERFECT
101000000011253,WELSPUN INDIA LTD,0,1,0.05,INE192B01031,0915-1530|1815-1915:17,2021-07-13,,NSE:WELSPUNIND-EQ,10,10,11253,WELSPUNIND
101000000011256,JAI BALAJI INDUSTRIES LTD,0,1,0.05,INE091G01018,0915-1530|1815-1915:17,2021-07-13,,NSE:JAIBALAJI-EQ,10,10,11256,JAIBALAJI
101000000011262,INDRAPRASTHA GAS LTD,0,1,0.05,INE203G01027,0915-1530|1815-1915:17,2021-07-13,,NSE:IGL-EQ,10,10,11262,IGL
101000000011265,TVS ELECTRONICS LTD,0,1,0.05,INE236G01019,0915-1530|1815-1915:17,2021-07-13,,NSE:TVSELECT-EQ,10,10,11265,TVSELECT
101000000011268,RADAAN MEDIAWORKS (I) LTD,0,1,0.05,INE874F01027,0915-1530|1815-1915:17,2021-07-13,,NSE:RADAAN-BE,10,10,11268,RADAAN
10100000001127,GHCL LIMITED,0,1,0.05,INE539A01019,0915-1530|1815-1915:17,2021-07-13,,NSE:GHCL-EQ,10,10,1127,GHCL
101000000011271,DREDGING CORP OF INDIA,0,1,0.05,INE506A01018,0915-1530|1815-1915:17,2021-07-13,,NSE:DREDGECORP-EQ,10,10,11271,DREDGECORP
101000000011275,TV TODAY NETWORK LTD,0,1,0.05,INE038F01029,0915-1530|1815-1915:17,2021-07-13,,NSE:TVTODAY-EQ,10,10,11275,TVTODAY
101000000011287,UPL LIMITED,0,1,0.05,INE628A01036,0915-1530|1815-1915:17,2021-07-13,,NSE:UPL-EQ,10,10,11287,UPL
10100000001129,KEERTI KNOW & SKILL LTD.,0,1,0.05,INE586X01012,0915-1530|1815-1915:17,2021-07-13,,NSE:KEERTI-EQ,10,10,1129,KEERTI
101000000011293,UNIPHOS ENTERPRISES LTD,0,1,0.05,INE037A01022,0915-1530|1815-1915:17,2021-07-13,,NSE:UNIENTER-EQ,10,10,11293,UNIENTER
101000000011298,STANDARD INDUSTRIES LTD.,0,1,0.05,INE173A01025,0915-1530|1815-1915:17,2021-07-13,,NSE:SIL-BE,10,10,11298,SIL
101000000011301,LUX INDUSTRIES LIMITED,0,1,0.05,INE150G01020,0915-1530|1815-1915:17,2021-07-13,,NSE:LUXIND-EQ,10,10,11301,LUXIND
101000000011309,BALAXI PHARMA LTD,0,1,0.05,INE618N01014,0915-1530|1815-1915:17,2021-07-13,,NSE:BALAXI-EQ,10,10,11309,BALAXI
101000000011319,LICNAMC - LICNFENGP,4,1,0.01,INF767K01OS7,0915-1530|1815-1915:17,2021-07-13,,NSE:LICNETFN50-EQ,10,10,11319,LICNETFN50
101000000011326,MUKAND LTD.,0,1,0.05,INE304A01026,0915-1530|1815-1915:17,2021-07-13,,NSE:MUKANDLTD-BE,10,10,11326,MUKANDLTD
10100000001134,APOLLO MICRO SYSTEMS LTD,0,1,0.05,INE713T01010,0915-1530|1815-1915:17,2021-07-13,,NSE:APOLLO-EQ,10,10,1134,APOLLO
101000000011344,AFFLE (INDIA) LIMITED,0,1,0.05,INE00WC01019,0915-1530|1815-1915:17,2021-07-13,,NSE:AFFLE-BE,10,10,11344,AFFLE
101000000011351,PETRONET LNG LIMITED,0,1,0.05,INE347G01014,0915-1530|1815-1915:17,2021-07-13,,NSE:PETRONET-EQ,10,10,11351,PETRONET
101000000011355,PTC INDIA LIMITED,0,1,0.05,INE877F01012,0915-1530|1815-1915:17,2021-07-13,,NSE:PTC-EQ,10,10,11355,PTC
101000000011359,DHANLAXMI BANK LIMITED,0,1,0.05,INE680A01011,0915-1530|1815-1915:17,2021-07-13,,NSE:DHANBANK-EQ,10,10,11359,DHANBANK
101000000011364,VAIBHAV GLOBAL LIMITED,0,1,0.05,INE884A01027,0915-1530|1815-1915:17,2021-07-13,,NSE:VAIBHAVGBL-EQ,10,10,11364,VAIBHAVGBL
101000000011369,TTK HEALTHCARE LIMITED,0,1,0.05,INE910C01018,0915-1530|1815-1915:17,2021-07-13,,NSE:TTKHLTCARE-EQ,10,10,11369,TTKHLTCARE
101000000011373,BIOCON LIMITED.,0,1,0.05,INE376G01013,0915-1530|1815-1915:17,2021-07-13,,NSE:BIOCON-EQ,10,10,11373,BIOCON
101000000011377,BANK OF MAHARASHTRA,0,1,0.05,INE457A01014,0915-1530|1815-1915:17,2021-07-13,,NSE:MAHABANK-EQ,10,10,11377,MAHABANK
101000000011386,ICICIPRAMC - ICICIBANKP,4,1,0.01,INF109KC1E35,0915-1530|1815-1915:17,2021-07-13,,NSE:ICICIBANKP-EQ,10,10,11386,ICICIBANKP
101000000011387,UMANG DAIRIES LIMITED,0,1,0.05,INE864B01027,0915-1530|1815-1915:17,2021-07-13,,NSE:UMANGDAIRY-EQ,10,10,11387,UMANGDAIRY
10100000001139,GIC HOUSING FINANCE LTD,0,1,0.05,INE289B01019,0915-1530|1815-1915:17,2021-07-13,,NSE:GICHSGFIN-EQ,10,10,1139,GICHSGFIN
101000000011394,ZOTA HEALTH CARE LIMITED,0,1,0.05,INE358U01012,0915-1530|1815-1915:17,2021-07-13,,NSE:ZOTA-EQ,10,10,11394,ZOTA
101000000011399,SALZER ELECTRONICS LTD,0,1,0.05,INE457F01013,0915-1530|1815-1915:17,2021-07-13,,NSE:SALZERELEC-EQ,10,10,11399,SALZERELEC
